Line#  Reward Date  Investment Amount  Reward Amount  Total Reward Amount To Date   Stacking Reward Rate
0         2020-11-15           10.000000          0.009589             0.009589                7.00%
1         2020-12-15           10.009589          0.057589             0.067178                7.00%
2         2021-01-15           10.067178          0.057921             0.125099                7.00%
3         2021-02-15           10.125099          0.060196             0.185295                7.00%
4         2021-03-15           10.185295          0.060554             0.245849                7.00%
5         2021-04-15           10.245849          0.060914             0.306762                7.00%
6         2021-05-15           10.306762          0.061276             0.368038                7.00%
7         2021-06-15           10.368038          0.061640             0.429678                7.00%
8         2021-07-15           10.429678          0.062007             0.491685                7.00%
9         2021-08-15           10.491685          0.062375             0.554060                7.00%
10         2021-09-15           10.554060          0.062746             0.616806                7.00%
11         2021-10-15           10.616806          0.063119             0.679925                7.00%
12         2021-11-15           10.679925          0.063494             0.743420                7.00%
13         2021-12-15           10.743420          0.063872             0.807291                7.00%
14         2022-01-15           10.807291          0.064252             0.871543                7.00%
15         2022-02-15           10.871543          0.064634             0.936177                7.00%
16         2022-03-15           10.936177          0.065018             1.001194                7.00%
17         2022-04-15           11.001194          0.065404             1.066599                7.00%
18         2022-05-15           11.066599          0.065793             1.132392                7.00%
19         2022-06-15           11.132392          0.066184             1.198576                7.00%
20         2022-07-15           11.198576          0.066578             1.265154                7.00%
21         2022-08-15           11.265154          0.066974             1.332128                7.00%
22         2022-09-15           11.332128          0.067372             1.399500                7.00%
23         2022-10-15           11.399500          0.067772             1.467272                7.00%
24         2022-11-10           11.467272          0.068175             1.535447                7.00%
